schema_version	area	subject	surface	surface_version	provider	os	model	operation	validation_mode	status	evidence	notes
2	editor-surface	VS Code-compatible Continue Agent	Continue Agent	not-recorded	Ollama	Windows	qwen3-coder:30b	repository-list	editor-agent	read-only-tool-validated	examples/editor-surface-validation.md	Sanitized evidence records read-only Agent validation; approved-write readiness is not claimed.
2	editor-surface	VSCodium Continue Agent	Continue Agent	not-recorded	Ollama	Windows	qwen3-coder:30b	repository-list	editor-agent	read-only-tool-validated	examples/editor-surface-validation.md	Sanitized evidence records successful read-only repository listing after prior raw tool-call failure.
2	model-tool-use	qwen3.5:9b read	Continue Agent	not-recorded	Ollama	Windows	qwen3.5:9b	read-file	editor-agent	read-only-tool-validated	examples/model-tool-use-validation.md	Manual editor validation recorded successful read-content tool use after tool settings were corrected.
2	model-tool-use	qwen3.5:9b plan	Continue Agent	not-recorded	Ollama	Windows	qwen3.5:9b	plan	editor-agent	plan-validated	examples/model-tool-use-validation.md	Manual editor validation recorded an evidence-based plan without file changes.
2	model-tool-use	qwen3.5:9b write	Continue Agent	not-recorded	Ollama	Windows	qwen3.5:9b	scoped-write	editor-agent	approved-write-ready	examples/model-tool-use-validation.md	Manual editor validation recorded exact write content without forbidden tool markup after tool settings were corrected.
2	model-tool-use	devstral-small-2:24b read	Continue Agent	not-recorded	Ollama	Windows	devstral-small-2:24b	read-file	editor-agent	read-only-tool-validated	examples/model-tool-use-validation.md	Read-only validation passed; approved-write status is not claimed.
2	model-tool-use	qwen3-coder:30b read	Continue Agent	not-recorded	Ollama	Windows	qwen3-coder:30b	read-file	editor-agent	read-only-tool-validated	examples/model-tool-use-validation.md	Read-only validation passed; performance may be slower on local hardware.
2	model-tool-use	Qwen3-Coder-Next generated workflows	Continue CLI	not-recorded	Ollama	Windows	Qwen3-Coder-Next:latest	workflow-review	generated-sample	plan-review-candidate	examples/multi-language-workflow-validation.md	Generated-sample workflows are useful for planning and review but are not approved-write evidence.
2	model-tool-use	devstral-small-2 generated workflows	Continue CLI	not-recorded	Ollama	Windows	devstral-small-2:latest	workflow-review	generated-sample	plan-review-candidate	examples/multi-language-workflow-validation.md	Generated-sample workflows are useful for planning and review but are not approved-write evidence.
2	language-rule-pack	Python optional rule pack	Static validation	pack-tests	N/A	Cross-platform	N/A	rule-validation	static	static-validated	examples/language-rule-pack-validation.md	Optional Python rule pack is evidence-gated and not loaded globally by default.
2	language-rule-pack	TypeScript optional rule pack	Static validation	pack-tests	N/A	Cross-platform	N/A	rule-validation	static	static-validated	examples/language-rule-pack-validation.md	Optional TypeScript rule pack is evidence-gated and not loaded globally by default.
2	sample-repository	Python API generated sample	Continue CLI	not-recorded	Ollama	Windows	local-config	repository-discovery	generated-sample	read-only-cli-validated	examples/sample-repository-factory-validation.md	Generated Python sample supports repository discovery and runtime context validation; editor approved-write validation remains separate.
2	sample-repository	TypeScript frontend generated sample	Continue CLI	not-recorded	Ollama	Windows	local-config	repository-discovery	generated-sample	read-only-cli-validated	examples/sample-repository-factory-validation.md	Generated TypeScript sample supports repository discovery and runtime context validation; editor approved-write validation remains separate.
2	multi-language-workflow	Generated Python sample workflows	Continue CLI	not-recorded	Ollama	Windows	Qwen3-Coder-Next:latest	workflow-suite	generated-sample	partial-pass	examples/multi-language-workflow-validation.md	Most workflows passed runtime verification; documentation and release-style filename drift follow-up remains.
2	multi-language-workflow	Generated Python sample workflows	Continue CLI	not-recorded	Ollama	Windows	devstral-small-2:latest	workflow-suite	generated-sample	partial-pass	examples/multi-language-workflow-validation.md	Most workflows passed runtime verification; documentation and release-style filename drift follow-up remains.
2	multi-language-workflow	Generated TypeScript sample workflows	Continue CLI	not-recorded	Ollama	Windows	Qwen3-Coder-Next:latest	workflow-suite	generated-sample	partial-pass	examples/multi-language-workflow-validation.md	Most workflows passed runtime verification; documentation and release-style filename drift follow-up remains.
2	multi-language-workflow	Generated TypeScript sample workflows	Continue CLI	not-recorded	Ollama	Windows	devstral-small-2:latest	workflow-suite	generated-sample	partial-pass	examples/multi-language-workflow-validation.md	Most workflows passed runtime verification; documentation and release-style filename drift follow-up remains.
2	installer-profile	Read-only install profile	Installer scripts	pack-tests	N/A	Cross-platform	N/A	install-read-only	automated-tests	validated-by-tests	scripts/test-pack.ps1	Generates local config without edit/apply roles and is covered by PowerShell and Bash tests.
2	installer-profile	Approved-write install profile	Installer scripts	pack-tests	N/A	Cross-platform	N/A	install-approved-write	automated-tests	validated-by-tests	scripts/test-pack.ps1	Maps to scoped model lanes where only WRITE SAFE has edit/apply roles.
2	online-discovery	Online model discovery	Pack scripts	pack-tests	N/A	Cross-platform	N/A	model-discovery	online-discovery	candidate-only	docs/online-model-discovery.md	Discovery reports candidates only; it does not mark models as tool-validated or approved-write ready.
2	remote-profile	Remote hardware profiling	Pack scripts	pack-tests	N/A	Cross-platform	N/A	hardware-profile	automated-tests	validated-by-tests	docs/remote-hardware-profile.md	SSH-based remote profile flow is documented and covered by script marker tests.
2	hardware-recommendation	Script-level recommendation and config generation	Pack scripts	pack-tests	N/A	Cross-platform	qwen3.5:9b	config-recommendation	automated-tests	validated-by-tests	examples/hardware-aware-recommendation-validation.md	Sanitized evidence records recommendation and local-only config generation; editor Apply validation remains separate.
2	agent-surface	Cline read-only validation workflow	Cline	not-recorded	Ollama	Windows	qwen3-coder:30b	repository-discovery	editor-agent	read-only-tool-validated	examples/cline-readonly-validation.md	Cline read-only validation passed on a generated Python sample at 16k context; approved-write remains blocked pending scoped write verification.
2	agent-surface	Cline read-only validation workflow caveat	Cline	not-recorded	Ollama	Windows	qwen3.5:9b	repository-discovery	editor-agent	partial-pass	examples/cline-readonly-validation.md	Cline read files on a generated Python sample at 16k context but produced unsupported or noisy claims.
2	agent-surface	Cline approved-write smoke test	Cline	not-recorded	Ollama	Windows	qwen3-coder:30b	write-smoke	editor-agent	write-smoke-validated	examples/cline-readonly-validation.md	Disposable generated Python sample write test changed only README.md; real-project approved-write remains blocked.
2	agent-surface	Cline CLI Devstral Small 2 isolated read-only validation	Cline CLI	3.0.41	Ollama	Windows	devstral-small-2:24b	read-file	generated-sample	read-only-cli-validated	examples/cline-readonly-validation.md	Isolated OpenAI-compatible local profile read generated sample files with headless auto-approval; external Git verification was clean and the model was unloaded.
2	agent-surface	Cline CLI model test harness	Cline CLI	not-recorded	N/A	Cross-platform	N/A	test-harness	automated-tests	validated-by-tests	docs/cline-cli-model-testing.md	Automation defines read-only and disposable write-smoke screening; model-specific evidence remains separate.
2	agent-surface	Continue CLI model test harness	Continue CLI	not-recorded	N/A	Cross-platform	N/A	test-harness	automated-tests	validated-by-tests	docs/continue-cli-model-testing.md	Automation defines read-only and disposable write-smoke screening; model-specific evidence remains separate.
2	agent-surface	Aider CLI model test harness	Aider CLI	0.86.2	N/A	Cross-platform	N/A	test-harness	automated-tests	validated-by-tests	docs/aider-cli-model-testing.md	Automation defines read-only and disposable write-smoke screening; model-specific evidence remains separate.
2	agent-surface	Aider CLI read-only context validation	Aider CLI	0.86.2	Ollama	Windows	qwen3-coder:30b	read-file	generated-sample	read-only-tool-validated	examples/aider-validation.md	Aider CLI read-only context validation passed on the generated Python sample.
2	agent-surface	Aider CLI disposable write-smoke validation	Aider CLI	0.86.2	Ollama	Windows	qwen3-coder:30b	write-smoke	generated-sample	write-smoke-validated	examples/aider-validation.md	Aider CLI disposable write-smoke validation changed only README.md and passed external verification.
2	agent-surface	Aider CLI realistic scoped-edit validation	Aider CLI	0.86.2	Ollama	Windows	qwen3-coder:30b	scoped-write	generated-sample	write-smoke-validated	examples/aider-validation.md	Aider CLI changed only expected source and test files and passed external verification; real-project readiness remains blocked.
2	agent-surface	Aider CLI richer disposable scoped-edit validation	Aider CLI	0.86.2	Ollama	Windows	qwen3-coder:30b	scoped-write	generated-sample	write-smoke-validated	examples/aider-validation.md	Aider CLI passed a richer Node service scoped edit; non-generated repository validation remains required.
2	agent-surface	Aider CLI qwen3.5 9B read-only context validation	Aider CLI	0.86.2	Ollama	Windows	qwen3.5:9b	read-file	generated-sample	read-only-tool-validated	examples/aider-validation.md	Aider CLI read-only context validation passed on a generated Python sample with automatic model unload.
2	agent-surface	Aider CLI qwen3.5 9B disposable write-smoke validation	Aider CLI	0.86.2	Ollama	Windows	qwen3.5:9b	write-smoke	generated-sample	write-smoke-validated	examples/aider-validation.md	Aider CLI changed only the disposable write target and passed external verification; real-project approval is not claimed.
2	model-tool-use	qwen3.5:9b Continue CLI read	Continue CLI	not-recorded	Ollama	Windows	qwen3.5:9b	read-file	generated-sample	read-only-cli-validated	examples/continue-cli-model-validation.md	Read-only CLI validation passed on a generated disposable sample.
2	model-tool-use	qwen3.5:9b Continue CLI write	Continue CLI	not-recorded	Ollama	Windows	qwen3.5:9b	write-smoke	generated-sample	write-smoke-validated	examples/continue-cli-model-validation.md	Approved write smoke passed on a generated disposable sample; editor evidence remains separate.
2	model-tool-use	qwen3-coder:30b Continue CLI read	Continue CLI	not-recorded	Ollama	Windows	qwen3-coder:30b	read-file	generated-sample	read-only-cli-validated	examples/continue-cli-model-validation.md	Read-only CLI validation passed on a generated disposable sample.
2	model-tool-use	qwen3-coder:30b Continue CLI write	Continue CLI	not-recorded	Ollama	Windows	qwen3-coder:30b	write-smoke	generated-sample	write-smoke-validated	examples/continue-cli-model-validation.md	Approved write smoke passed on a generated disposable sample; expect slower output on modest hardware.
2	model-tool-use	devstral-small-2:24b Continue CLI read	Continue CLI	not-recorded	Ollama	Windows	devstral-small-2:24b	read-file	generated-sample	read-only-cli-validated	examples/continue-cli-model-validation.md	Read-only CLI validation passed on a generated disposable sample.
2	model-tool-use	devstral-small-2:24b Continue CLI write	Continue CLI	not-recorded	Ollama	Windows	devstral-small-2:24b	write-smoke	generated-sample	write-smoke-validated	examples/continue-cli-model-validation.md	Approved write smoke passed on a generated disposable sample; editor evidence remains separate.
2	language-workflow-matrix	Devstral Small 2 medium language matrix	Continue CLI	1.5.47	Ollama	Windows	devstral-small-2:24b	workflow-suite	generated-sample	partial-pass	examples/language-rule-pack-validation.md	Passed 27 of 28 medium-fixture cells; TypeScript scoped write remains assigned to the Qwen override.
2	language-workflow-matrix	Qwen 3.5 35B medium language matrix	Continue CLI	1.5.47	Ollama	Windows	qwen3.5:35b	workflow-suite	generated-sample	partial-pass	examples/language-rule-pack-validation.md	Passed 27 of 28 medium-fixture cells; Rust scoped write remains assigned to the Devstral default.
2	language-workflow-matrix	TypeScript scoped-write lane	Continue CLI	1.5.47	Ollama	Windows	qwen3.5:35b	scoped-write	generated-sample	approved-write-ready	examples/language-rule-pack-validation.md	External diff, exact final marker, and final response passed on the medium TypeScript fixture.
2	language-workflow-matrix	Rust scoped-write lane	Continue CLI	1.5.47	Ollama	Windows	devstral-small-2:24b	scoped-write	generated-sample	approved-write-ready	examples/language-rule-pack-validation.md	External diff, exact final marker, and final response passed on the medium Rust fixture.
2	language-workflow-matrix	Native macOS Python read workflows	Continue CLI	1.5.47	Ollama	macOS	qwen3.5:9b	read-workflows	generated-sample	read-only-cli-validated	examples/language-rule-pack-validation.md	Python discovery implementation planning and code review passed on a native Apple Silicon host; model unload was verified after each run.
2	language-workflow-matrix	Native macOS Python scoped-write	Continue CLI	1.5.47	Ollama	macOS	qwen3.5:9b	scoped-write	generated-sample	approved-write-ready	examples/language-rule-pack-validation.md	Structured headless output changed only the approved Python test file passed exact marker and Git checks and verified model unload; this does not promote other languages or editor surfaces.
2	agent-surface	Shared agent CLI model test harness	Agent CLI surfaces	pack-tests	N/A	Cross-platform	N/A	test-harness	automated-tests	validated-by-tests	docs/agent-cli-surface-model-testing.md	Generic harness defines reusable CLI screening; model-specific evidence remains separate.
2	agent-surface	Roo Code upstream retirement	Roo Code	not-recorded	N/A	Cross-platform	N/A	surface-status	static	candidate-only	docs/agent-cli-surface-model-testing.md	Upstream project is archived and the extension is shut down; do not treat historical wrapper metadata as live validation evidence.
2	agent-surface	Kilo Code CLI wrapper scaffold	Kilo Code	not-recorded	N/A	Cross-platform	N/A	test-harness	static	validated-by-tests	docs/agent-cli-surface-model-testing.md	Thin wrapper delegates to the shared CLI harness; live Kilo Code evidence remains pending.
2	agent-surface	OpenCode CLI wrapper scaffold	OpenCode	not-recorded	N/A	Cross-platform	N/A	test-harness	static	validated-by-tests	docs/agent-cli-surface-model-testing.md	Thin wrapper delegates to the shared CLI harness; live OpenCode evidence remains pending.
2	agent-surface	OpenCode CLI qwen3.5 9B read validation	OpenCode CLI	1.18.2	Ollama	Windows	qwen3.5:9b	read-file	generated-sample	read-only-tool-validated	examples/opencode-validation.md	Read-only generated-sample validation passed; disposable write failed and real-project approval is not claimed.
2	agent-surface	OpenCode CLI qwen3.5 35B write smoke	OpenCode CLI	1.18.2	Ollama	Windows	qwen3.5:35b	write-smoke	generated-sample	write-smoke-validated	examples/opencode-validation.md	Disposable README-only write passed external verification; read-only contract failed and real-project approval is not claimed.
2	agent-surface	OpenCode CLI Devstral Small 2 generated-sample validation	OpenCode CLI	1.18.2	Ollama	Windows	devstral-small-2:24b	read-and-write	generated-sample	partial-pass	examples/opencode-validation.md	Read-only, disposable write-smoke, and constrained scoped-edit validation passed with automatic unload; real-project approval is not claimed.
2	agent-surface	OpenCode CLI Devstral Small 2 generated-sample scoped edit	OpenCode CLI	1.18.2	Ollama	Windows	devstral-small-2:24b	scoped-write	generated-sample	write-smoke-validated	examples/opencode-validation.md	Constrained two-file Python scoped edit passed external changed-file, content, and whitespace verification with automatic unload; real-project approval is not claimed.
2	model-tool-use	Qwen 3.5 9B MLX endpoint tool call	MLX OpenAI-compatible server	0.31.3	MLX	macOS	mlx-community/Qwen3.5-9B-OptiQ-4bit	structured-tool-call	local-endpoint	read-only-tool-validated	examples/mlx-model-validation.md	Required function call returned valid JSON arguments on a loopback-only Apple Silicon MLX server; agent-surface behavior remains separate.
2	model-tool-use	Qwen 3.5 9B MLX Continue CLI read	Continue CLI	1.5.47	MLX	macOS	mlx-community/Qwen3.5-9B-OptiQ-4bit	read-file	generated-sample	read-only-cli-validated	examples/mlx-model-validation.md	Read-tool output referenced inspected disposable-fixture files; editor Agent compatibility is not claimed.
2	model-tool-use	Qwen 3.5 9B MLX Continue CLI plan	Continue CLI	1.5.47	MLX	macOS	mlx-community/Qwen3.5-9B-OptiQ-4bit	implementation-plan	generated-sample	plan-validated	examples/mlx-model-validation.md	Read-only plan referenced the inspected scenario and service files and external Git verification remained clean.
2	model-tool-use	Qwen 3.5 9B MLX Continue CLI review	Continue CLI	1.5.47	MLX	macOS	mlx-community/Qwen3.5-9B-OptiQ-4bit	code-review	generated-sample	review-validated	examples/mlx-model-validation.md	Read-only review referenced the inspected service and test files and external Git verification remained clean.
2	model-tool-use	Qwen 3.5 9B MLX Continue CLI scoped write smoke	Continue CLI	1.5.47	MLX	macOS	mlx-community/Qwen3.5-9B-OptiQ-4bit	write-smoke	generated-sample	write-smoke-validated	examples/mlx-model-validation.md	Only the approved disposable README changed; exact marker and Git whitespace checks passed before cleanup. Editor and broad-write readiness are not claimed.
2	model-tool-use	Qwen 3.5 9B baseline MLX endpoint tool call	MLX OpenAI-compatible server	0.31.3	MLX	macOS	mlx-community/Qwen3.5-9B-4bit	structured-tool-call	local-endpoint	read-only-tool-validated	examples/mlx-model-validation.md	Required function call returned valid JSON arguments on a loopback-only Apple Silicon MLX server; agent-surface behavior remains separate.
2	model-tool-use	Qwen 3.5 9B baseline MLX Continue CLI read	Continue CLI	1.5.47	MLX	macOS	mlx-community/Qwen3.5-9B-4bit	read-file	generated-sample	read-only-cli-validated	examples/mlx-model-validation.md	Focused read output referenced the approved fixture files; editor Agent compatibility is not claimed.
2	model-tool-use	Qwen 3.5 9B baseline MLX Continue CLI scoped write smoke	Continue CLI	1.5.47	MLX	macOS	mlx-community/Qwen3.5-9B-4bit	write-smoke	generated-sample	write-smoke-validated	examples/mlx-model-validation.md	Only the approved disposable README changed; exact marker and Git whitespace checks passed before cleanup. Strict plan and review evidence is not claimed.
2	model-tool-use	Qwen 3.5 4B MLX endpoint tool call	MLX OpenAI-compatible server	0.31.3	MLX	macOS	mlx-community/Qwen3.5-4B-4bit	structured-tool-call	local-endpoint	read-only-tool-validated	examples/mlx-model-validation.md	Required function call returned valid JSON arguments on a loopback-only Apple Silicon MLX server; agent-surface behavior remains separate.
2	model-tool-use	Qwen 3.5 4B MLX Continue CLI read	Continue CLI	1.5.47	MLX	macOS	mlx-community/Qwen3.5-4B-4bit	read-file	generated-sample	read-only-cli-validated	examples/mlx-model-validation.md	Tool-backed read returned the inspected disposable fixture project name; editor Agent compatibility is not claimed.
2	model-tool-use	Qwen 3.5 4B MLX Continue CLI scoped write smoke	Continue CLI	1.5.47	MLX	macOS	mlx-community/Qwen3.5-4B-4bit	write-smoke	generated-sample	write-smoke-validated	examples/mlx-model-validation.md	Only the approved disposable README changed; exact marker and Git whitespace checks passed before cleanup. Editor, plan, review, and broad-write readiness are not claimed.
2	model-tool-use	Devstral Small 2 MLX endpoint tool call	MLX OpenAI-compatible server	0.31.3	MLX	macOS	mlx-community/Devstral-Small-2-24B-Instruct-2512-4bit	structured-tool-call	local-endpoint	candidate-only	examples/mlx-model-validation.md	Endpoint did not return the required structured tool call; do not use for MLX tool-backed workflows until the model parsing/runtime issue is resolved and retested.
